utterances,IOB Slot tags,Core Relations
who are the lead actors in life is beautiful,O O O O O O B_movie I_movie I_movie,movie.starring.actor
find the male actor from the movie born free,O O O O O O O B_movie I_movie,movie.starring.actor actor.gender
actor from iron man,O O B_movie I_movie,movie.starring.actor
shows actors in shoot to kill,O O O B_movie I_movie I_movie,movie.starring.actor
which actors starred in hitch,O O O O B_movie,movie.starring.actor
who are all of the actors in hitch,O O O O O O O B_movie,movie.starring.actor
who was the lead actor in hitch,O O O O O O B_movie,movie.starring.actor
who starred in dark knight rising,O O O B_movie I_movie I_movie,movie.starring.actor
who played nick fury in the avengers,O O B_char I_char O B_movie I_movie,movie.starring.actor movie.starring.character
who was the lead actor in the avengers,O O O O O O B_movie I_movie,movie.starring.actor
what was the cast of black swan,O O O O O B_movie I_movie,movie.starring.actor
who acted in black swan,O O O B_movie I_movie,movie.starring.actor
who was in black swan,O O O B_movie I_movie,movie.starring.actor
who was the lead in black swan,O O O O O B_movie I_movie,movie.starring.actor
actors in star wars four,O O B_movie I_movie I_movie,movie.starring.actor
what was the actor who played esme in twilight,O O O O O O B_char O B_movie,movie.starring.actor movie.starring.character
